policy,profile,episodes,safe_success_rate,unsafe_crossing_rate,wrong_detour_rate,avg_observation_count,avg_replan_count,avg_path_length,avg_gpu_perception_ms,avg_visible_fraction
majority-vote,dynamic-appears,6,0.0,1.0,0.0,3.0,0.0,5.743997061625123,93.15396072798306,1.0
majority-vote,high-occlusion,6,1.0,0.0,0.0,3.0,0.0,7.920001542195678,247.6653592917654,0.5172413793103449
majority-vote,shifted-occluder,6,1.0,0.0,0.0,2.6666666666666665,0.0,6.127997868694365,198.83202126125494,0.5901677033308393
majority-vote,static-blocked,6,1.0,0.0,0.0,2.6666666666666665,0.0,7.920001542195678,287.8433037035995,0.5172413793103449
majority-vote,static-clear,6,1.0,0.0,0.3333333333333333,2.6666666666666665,0.0,6.469331888481975,110.15831759075324,1.0
purify-active,dynamic-appears,6,1.0,0.0,0.0,4.0,1.0,9.215997196733952,191.87421516080698,0.731454580670153
purify-active,high-occlusion,6,1.0,0.0,0.0,2.0,0.0,7.920001542195678,367.51021339992684,0.5172413793103449
purify-active,shifted-occluder,6,1.0,0.0,0.0,2.5,0.5,7.242665576438109,242.96279649436474,0.6004819867526486
purify-active,static-blocked,6,1.0,0.0,0.0,2.5,0.5,8.17066805406163,316.011292528775,0.509210132788191
purify-active,static-clear,6,1.0,0.0,0.3333333333333333,4.166666666666667,1.3333333333333333,8.114666192481915,188.98039177225698,1.0
purify-fixed,dynamic-appears,6,0.0,1.0,0.0,2.0,0.0,4.800006261095405,140.18147175510725,1.0
purify-fixed,high-occlusion,6,1.0,0.0,0.0,3.0,2.0,9.920007461681962,94.37057918310165,0.1600475147101583
purify-fixed,shifted-occluder,6,1.0,0.0,0.0,3.1666666666666665,1.6666666666666667,10.144002190480629,262.2391856801179,0.5860134780733405
purify-fixed,static-blocked,6,1.0,0.0,0.0,2.5,0.5,6.546667755270998,167.840800344944,0.6510259307472973
purify-fixed,static-clear,6,1.0,0.0,0.0,2.5,0.5,6.016006982264419,169.1173454332683,1.0
single-shot,dynamic-appears,6,0.0,1.0,0.0,1.0,0.0,5.743997061625123,278.7496846516927,1.0
single-shot,high-occlusion,6,1.0,0.0,0.0,1.0,0.0,7.920001542195678,737.9788004557291,0.5172413793103449
single-shot,shifted-occluder,6,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,5.789332278693716,509.3348897298177,0.5901677033308393
single-shot,static-blocked,6,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,7.557334128767252,732.119130452474,0.5172413793103449
single-shot,static-clear,6,1.0,0.0,0.16666666666666666,1.0,0.0,6.106664475053549,282.1117299397786,1.0
