policy,profile,evidence_count,ece_10_bin
fixed-multiview,depth-degradation,60,0.07894739936510804
fixed-multiview,dynamic-change,60,0.05135832593421638
fixed-multiview,segmentation-degradation,60,0.10484252966511637
fixed-multiview,static-mixed,60,0.04463357194923996
fixed-multiview,view-dependent-occlusion,60,0.14024802935092992
purify-fixed,depth-degradation,80,0.06685474530214632
purify-fixed,dynamic-change,80,0.04210086442804912
purify-fixed,segmentation-degradation,80,0.08758441373169415
purify-fixed,static-mixed,78,0.03587545646803289
purify-fixed,view-dependent-occlusion,78,0.11157024336498182
purify-information-gain,depth-degradation,80,0.06346448814711905
purify-information-gain,dynamic-change,81,0.04339573031325134
purify-information-gain,segmentation-degradation,81,0.08608276426680225
purify-information-gain,static-mixed,81,0.036310485985127636
purify-information-gain,view-dependent-occlusion,79,0.10486993141602301
purify-random,depth-degradation,74,0.11073112515582877
purify-random,dynamic-change,76,0.08458098622781617
purify-random,segmentation-degradation,76,0.13796849978283332
purify-random,static-mixed,72,0.06515778129312641
purify-random,view-dependent-occlusion,75,0.15012291957973806
single-shot,depth-degradation,20,0.1099491824309455
single-shot,dynamic-change,20,0.07628661711487279
single-shot,segmentation-degradation,20,0.13878926151174542
single-shot,static-mixed,20,0.06083005131600456
single-shot,view-dependent-occlusion,20,0.15645937163010845
