file,policy,profile,seed,mission_success,unsafe_crossing,nav_success,pick_success,invalidation_count,observation_count
naive__dynamic-change__50000.json,naive,dynamic-change,50000,False,False,False,False,0,1
naive__evidence-echo__50000.json,naive,evidence-echo,50000,False,False,False,False,1,1
naive__independent-noise__50000.json,naive,independent-noise,50000,False,False,False,False,1,1
naive__manipulation-occlusion__50000.json,naive,manipulation-occlusion,50000,False,False,False,False,1,1
naive__shared-occlusion__50000.json,naive,shared-occlusion,50000,False,False,False,False,1,1
naive__time-skew__50000.json,naive,time-skew,50000,False,False,False,False,1,1
purify-active__dynamic-change__50000.json,purify-active,dynamic-change,50000,False,False,False,False,0,4
purify-active__evidence-echo__50000.json,purify-active,evidence-echo,50000,False,False,False,False,1,2
purify-active__independent-noise__50000.json,purify-active,independent-noise,50000,False,False,False,False,1,2
purify-active__manipulation-occlusion__50000.json,purify-active,manipulation-occlusion,50000,False,False,False,False,1,2
purify-active__shared-occlusion__50000.json,purify-active,shared-occlusion,50000,False,False,False,False,1,2
purify-active__time-skew__50000.json,purify-active,time-skew,50000,False,False,False,False,1,2
purify-passive__dynamic-change__50000.json,purify-passive,dynamic-change,50000,False,False,False,False,0,1
purify-passive__evidence-echo__50000.json,purify-passive,evidence-echo,50000,False,False,False,False,0,1
purify-passive__independent-noise__50000.json,purify-passive,independent-noise,50000,False,False,False,False,0,1
purify-passive__manipulation-occlusion__50000.json,purify-passive,manipulation-occlusion,50000,False,False,False,False,0,1
purify-passive__shared-occlusion__50000.json,purify-passive,shared-occlusion,50000,False,False,False,False,0,1
purify-passive__time-skew__50000.json,purify-passive,time-skew,50000,False,False,False,False,0,1
